INFO:2026-01-21 14:44:27,331: Epoch [1/500], Step [6700/35359], Mel Loss: 0.56603, Gen Loss: 10.77577, Disc Loss: 2.89691, Mono Loss: 0.03315, S2S Loss: 3.20265, SLM Loss: 2.65681
INFO:2026-01-21 14:45:12,134: Epoch [1/500], Step [6800/35359], Mel Loss: 0.58833, Gen Loss: 10.54711, Disc Loss: 2.90616, Mono Loss: 0.03117, S2S Loss: 2.94412, SLM Loss: 2.56523
INFO:2026-01-21 14:45:56,287: Epoch [1/500], Step [6900/35359], Mel Loss: 0.57186, Gen Loss: 10.48508, Disc Loss: 2.98471, Mono Loss: 0.06322, S2S Loss: 3.46956, SLM Loss: 2.53703
INFO:2026-01-21 14:46:40,748: Epoch [1/500], Step [7000/35359], Mel Loss: 0.54882, Gen Loss: 9.99094, Disc Loss: 3.32950, Mono Loss: 0.01646, S2S Loss: 3.64906, SLM Loss: 2.54258
INFO:2026-01-21 14:47:24,499: Epoch [1/500], Step [7100/35359], Mel Loss: 0.56525, Gen Loss: 13.46366, Disc Loss: 2.47889, Mono Loss: 0.03901, S2S Loss: 3.31943, SLM Loss: 2.64023
INFO:2026-01-21 14:48:08,816: Epoch [1/500], Step [7200/35359], Mel Loss: 0.55391, Gen Loss: 11.87323, Disc Loss: 2.83695, Mono Loss: 0.06274, S2S Loss: 3.87410, SLM Loss: 2.42280
INFO:2026-01-21 14:48:53,372: Epoch [1/500], Step [7300/35359], Mel Loss: 0.55886, Gen Loss: 8.57149, Disc Loss: 4.15935, Mono Loss: 0.02777, S2S Loss: 3.39499, SLM Loss: 2.35714
INFO:2026-01-21 14:49:37,361: Epoch [1/500], Step [7400/35359], Mel Loss: 0.56477, Gen Loss: 11.78834, Disc Loss: 3.11121, Mono Loss: 0.03731, S2S Loss: 3.15246, SLM Loss: 2.67982
INFO:2026-01-21 14:50:22,085: Epoch [1/500], Step [7500/35359], Mel Loss: 0.56638, Gen Loss: 13.45769, Disc Loss: 2.66440, Mono Loss: 0.03091, S2S Loss: 3.03425, SLM Loss: 2.54884
INFO:2026-01-21 14:51:06,803: Epoch [1/500], Step [7600/35359], Mel Loss: 0.58070, Gen Loss: 10.72081, Disc Loss: 3.56028, Mono Loss: 0.04747, S2S Loss: 3.08084, SLM Loss: 2.49602
INFO:2026-01-21 14:51:51,435: Epoch [1/500], Step [7700/35359], Mel Loss: 0.57659, Gen Loss: 18.11876, Disc Loss: 2.14753, Mono Loss: 0.01698, S2S Loss: 4.05308, SLM Loss: 2.41215
INFO:2026-01-21 14:52:35,923: Epoch [1/500], Step [7800/35359], Mel Loss: 0.56439, Gen Loss: 11.14247, Disc Loss: 3.02101, Mono Loss: 0.05940, S2S Loss: 2.99777, SLM Loss: 2.48513
INFO:2026-01-21 14:53:21,031: Epoch [1/500], Step [7900/35359], Mel Loss: 0.55024, Gen Loss: 8.65629, Disc Loss: 3.47450, Mono Loss: 0.04772, S2S Loss: 3.86985, SLM Loss: 2.30307
INFO:2026-01-21 14:54:05,413: Epoch [1/500], Step [8000/35359], Mel Loss: 0.55884, Gen Loss: 11.81227, Disc Loss: 2.71445, Mono Loss: 0.08850, S2S Loss: 3.42442, SLM Loss: 2.54274
INFO:2026-01-21 14:54:50,215: Epoch [1/500], Step [8100/35359], Mel Loss: 0.55201, Gen Loss: 10.65429, Disc Loss: 3.16383, Mono Loss: 0.06417, S2S Loss: 4.03872, SLM Loss: 2.59607
